path,strategy,delay_ms,jitter_ms,run,failed,time_to_fail_s,alpha_rms_deg,theta_rms_deg_wrapped,voltage_mean_abs_V,voltage_std_abs_V,saturation_pct,duration_s,n_samples,effective_depth_mean,window_rule
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\5-KF 20 delay\kf_delay020_jitter000_run2.csv,kf,20,0,2,True,1.8310790000000008,9.221663715369496,15.186627668498721,1.5223593750000002,2.450268216505704,3.6764705882352944,1.5778539999999994,272,4.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\5-KF 20 delay\kf_delay020_jitter000_run3.csv,kf,20,0,3,True,2.0859929999999993,10.389450018947455,18.54296814435576,1.7162001894409937,2.7163689626407916,0.0,1.8209970000000002,322,4.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\5-KF 20 delay\kf_delay020_jitter000_run4.csv,kf,20,0,4,True,2.1126620000000003,10.651475415798206,16.151042835828452,1.5987577843137255,2.5737943835009487,3.6414565826330536,1.8559940000000008,357,4.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\5-KF 20 delay\kf_delay020_jitter000_run5.csv,kf,20,0,5,True,2.2812530000000004,11.539179601196066,38.07617482776346,1.77499356779661,2.5320080143797754,1.1299435028248588,2.0209980000000005,354,4.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\6-KF 5 delay 5 jitter\kf_delay005_jitter005_run1.csv,kf,5,5,1,False,,3.3307362779147773,16.67877281142059,0.34827741082668906,0.2154207088785844,0.0,14.59549,2383,1.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\6-KF 5 delay 5 jitter\kf_delay005_jitter005_run2.csv,kf,5,5,2,False,,2.218447763186078,12.959262429880955,0.27233404263117283,0.161746994214616,0.0,61.564282000000006,10368,1.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\6-KF 5 delay 5 jitter\kf_delay005_jitter005_run3.csv,kf,5,5,3,False,,0.9749017766264868,4.3531817241799535,0.25731838455796097,0.10962216336375036,0.0,53.298201,9377,1.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\6-KF 5 delay 5 jitter\kf_delay005_jitter005_run4.csv,kf,5,5,4,False,,0.7395954317675612,7.079762499073239,0.23118883673250318,0.1078655270602209,0.0,54.178677,9316,1.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\6-KF 5 delay 5 jitter\kf_delay005_jitter005_run5.csv,kf,5,5,5,False,,1.5628985776825548,11.738706751854961,0.25181771712292,0.14055499839544783,0.0,54.739585,9315,1.0,BALANCE and delay_blend >= 0.99
E:\MDH\5-Project\LatencyPendulumControl\CollectedData\Kalman Filter\7-KF 10 delay 5 jitter\kf_delay010_jitter005_run1.csv,kf,10,5,1,False,,2.3560058915421265,13.326597168768881,0.2857198025830258,0.19511304511126637,0.0,54.428178,9756,2.0,BALANCE and delay_blend >= 0.99
